,Year,01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12,01-13,01-14,01-15,01-16,01-17,01-18,01-19,01-20,01-21,01-22,01-23,01-24,01-25,01-26,01-27,01-28,01-29,01-30,01-31,02-01,02-02,02-03,02-04,02-05,02-06,02-07,02-08,02-09,02-10,02-11,02-12,02-13,02-14,02-15,02-16,02-17,02-18,02-19,02-20,02-21,02-22,02-23,02-24,02-25,02-26,02-27,02-28,03-01,03-02,03-03,03-04,03-05,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,05-08,05-09,05-10,05-11,05-12,05-13,05-14,05-15,05-16,05-17,05-18,05-19,05-20,05-21,05-22,05-23,05-24,05-25,05-26,05-27,05-28,05-29,05-30,05-31,06-01,06-02,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21,06-22,06-23,06-24,06-25,06-26,06-27,06-28,06-29,06-30,07-01,07-02,07-03,07-04,07-05,07-06,07-07,07-08,07-09,07-10,07-11,07-12,07-13,07-14,07-15,07-16,07-17,07-18,07-19,07-20,07-21,07-22,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,08-02,08-03,08-04,08-05,08-06,08-07,08-08,08-09,08-10,08-11,08-12,08-13,08-14,08-15,08-16,08-17,08-18,08-19,08-20,08-21,08-22,08-23,08-24,08-25,08-26,08-27,08-28,08-29,08-30,08-31,09-01,09-02,09-03,09-04,09-05,09-06,09-07,09-08,09-09,09-10,09-11,09-12,09-13,09-14,09-15,09-16,09-17,09-18,09-19,09-20,09-21,09-22,09-23,09-24,09-25,09-26,09-27,09-28,09-29,09-30,10-01,10-02,10-03,10-04,10-05,10-06,10-07,10-08,10-09,10-10,10-11,10-12,10-13,10-14,10-15,10-16,10-17,10-18,10-19,10-20,10-21,10-22,10-23,10-24,10-25,10-26,10-27,10-28,10-29,10-30,10-31,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,11-11,11-12,11-13,11-14,11-15,11-16,11-17,11-18,11-19,11-20,11-21,11-22,11-23,11-24,11-25,11-26,11-27,11-28,11-29,11-30,12-01,12-02,12-03,12-04,12-05,12-06,12-07,12-08,12-09,12-10,12-11,12-12,12-13,12-14,12-15,12-16,12-17,12-18,12-19,12-20,12-21,12-22,12-23,12-24,12-25,12-26,12-27,12-28,12-29,12-30,12-31
0,2000,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25
1,2005,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25
2,2010,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,145036.6386920472,144531.25,144531.25,144531.25,144531.25,144531.25,146968.29417974397,144531.25,144531.25,146126.97257034638,146126.97257034638,146126.97257034638,145139.54050885982,146381.62004264694,146169.9456471901,144531.25,146134.15884242472,148559.95596143036,148559.95596143036,148556.8598681291,147183.94973589768,151768.34306148972,159642.93823685482,166366.79005780024,160187.6879004327,160187.6879004327,159082.37835689905,158554.5817485255,166662.01601971636,158857.27925959582,162266.48868895834,164966.75417913508,164966.75417913508,161688.21219227562,163422.2443649001,153070.90109728216,159746.46813487413,160126.29954770356,153851.40311186446,153851.40311186446,152157.86348172583,157317.45679510644,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,148367.8240119718,145592.61083998185,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144918.11395713763,144531.25,144531.25,144531.25,144531.25,146546.21116290224,144531.25,144644.75792699112,144736.49566115564,145600.29234877758,145600.29234877758,144531.25,144531.25,144531.25,145619.28830072464,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144803.7086930076,146222.1784627999,146222.1784627999,145429.51502425564,145913.01208553376,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144531.25,144818.80798762257,144628.88323567333,146075.1614405541,147307.14683505765,147237.67962896655
3,2015,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167698.6134876796,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,169932.09014532896,167114.2578125,167114.2578125,168959.312034463,168959.312034463,168959.312034463,167817.59371336916,169253.74817431052,169008.99965456355,167114.2578125,168967.62116155357,171772.44908040387,171772.44908040387,171768.86922252428,170181.44188213168,175482.1466648475,184587.14733636338,192361.60100433155,185217.01413487532,185217.01413487532,183938.99997516454,183328.7351467326,192702.95602279704,183678.72914390767,187620.6275466081,190742.80951962495,190742.80951962495,186951.99534731868,188956.97004691575,176988.2293937325,184706.8537809482,185146.03385203224,177890.68484809328,177890.68484809328,175932.52965074548,181898.30941934182,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,171550.2965138424,168341.456283729,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167561.56926294038,167114.2578125,167114.2578125,167114.2578125,167114.2578125,169444.0566571057,167114.2578125,167245.5013530835,167351.57310821122,168350.33802827407,168350.33802827407,167114.2578125,167114.2578125,167114.2578125,168372.30209771288,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167429.28817629002,169069.39384761237,169069.39384761237,168152.87674679558,168711.9202238984,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167114.2578125,167446.7467356886,167227.1462412473,168899.40541564068,170323.8885280354,170243.56707099258
4,2020,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193901.52184512952,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,196483.9792305366,193225.86059570312,193225.86059570312,195359.20453984782,195359.20453984782,195359.20453984782,194039.0927310831,195699.64632654653,195416.6558505891,193225.86059570312,195368.81196804633,198611.89424921697,198611.89424921697,198607.7550385437,196772.29217621475,202901.23208122991,213428.88910767017,222418.10116125835,214157.1725934496,214157.1725934496,212679.468721284,211973.85001340957,222812.79290135906,212378.53057264324,216936.3506007656,220546.37350706634,220546.37350706634,216163.2446203372,218481.49661674633,204642.6402365032,213567.29968422136,214075.10164141227,205686.10435560785,205686.10435560785,203421.98740867447,210319.92026611397,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,198355.03034413027,194644.80882806165,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193743.06446027482,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,195919.69050977848,193225.86059570312,193377.6109395028,193500.2564063692,194655.0783451919,194655.0783451919,193225.86059570312,193225.86059570312,193225.86059570312,194680.4743004805,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193590.11445383533,195486.4866363018,195486.4866363018,194426.76373848238,195073.15775888253,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193225.86059570312,193610.30091313994,193356.3878414422,195289.93751183455,196936.99611054093,196844.12442583518
